Company Name,Sum of Funding Amt (USD millions),Homepage,domain,legalName,tags,description,foundedYear,category.subIndustry,category.industry,metrics.employees,metrics.employeesRange,metrics.estimatedAnnualRevenue,metrics.raised,linkedin.handle,twitter.handle,crunchbase.handle,logo,Location,Key AI features,Notable use cases
Cognigy,100,https://www.cognigy.com,cognigy.com,Cognigy GmbH,"['B2B', 'Artificial Intelligence (AI)', 'Customer Service', 'Digital Marketing', 'Machine Learning', 'Natural Language Processing', 'Sales Automation', 'Virtual Assistant']","Cognigy is revolutionizing the customer service industry by providing the most cutting-edge AI Agent platform for voice and chat in the industry. Its award-winning solution, Cognigy.AI, empowers enterprises to deliver exceptional service that is instant, personalized, in any language, and on any channel. By perfectly combining Generative and Conversational AI to create AI Agents, Cognigy is shaping the future of customer service, increasing customer satisfaction, and supporting employees in real-time. Built on the foundation of the world’s leading Conversational AI platform, Cognigy.AI offers next-gen customer service with a suite of turnkey solutions including Voice AI Agents, Digital Chat AI Agents, and Agent Copilot. Coming equipped with dozens of pretrained skills, the platform works seamlessly with existing enterprise systems and learns from your agents, giving them superpowers. Over 1000 brands worldwide trust Cognigy and its vast partner network to create AI customer service agents for their business. Cognigy's impressive worldwide customer portfolio includes Bosch, Frontier Airlines, Lufthansa Group, Mercedes-Benz, and Toyota. For more information and to see a demo visit: www.cognigy.com We are hiring: https://careers.cognigy.com/ Visit our blog: https://www.cognigy.com/blog Meet our customers: https://www.cognigy.com/customer-success-stories https://www.cognigy.com/legal-notice/",2016,Software,Software & Computer Services,126,51-200,,168964492,company/cognigy,cognigy,organization/cognigy,http://logo.bigpicture.io/logo/cognigy.com,"Düsseldorf, North Rhine-Westphalia, Germany",Generative AI; Conversational AI; Low-code automation engine; AI-based semantic search and knowledge management; Multilingual natural language understanding (NLU); Real-time AI coaching; Automated wrap-ups; Omnichannel reporting and analytics,Automating customer service interactions; Real-time translation for global customer support; Voice and chat AI solutions for banking and finance; Pre-trained AI agents for healthcare and insurance; Proactive customer service for retail and telecommunications
1X Technologies,100,https://www.1x.tech,1x.tech,1X Technologies AS,"['Artificial Intelligence (AI)', 'Hardware', 'Manufacturing', 'Robotics', 'B2B', 'B2C']","1X is an AI robotics company producing robots capable of human-like movements and behaviors. 1X’s mission is to create an abundant supply of labor via safe, intelligent humanoids that work alongside humans. Unlike current generative AI, which remains software-centric, 1X’s robots are poised to conquer tangible tasks in the physical world and target the entire physical labor market, a sector poised to reach a multi-trillion-dollar market size. The US-Norwegian company was founded in 2014 and has its dual headquarters in San Francisco Bay and Norway.",2014,Electronic Equipment,Electronic & Electrical Equipment,209,201-500,$50M-$100M,136488234,company/1x-technologies,1x_tech,organization/halodi-robotics,http://logo.bigpicture.io/logo/1x.tech,"Moss, Viken, Norway",Embodied learning; Natural language understanding; Task breakdown and execution; Continuous learning from real-world experience,Humanoids assisting in everyday tasks at home; Safe interaction with humans due to soft mechanics; Large-scale manufacturing of humanoids for societal labor needs
PhotoRoom,93,https://www.photoroom.com,photoroom.com,Photoroom Inc,"['B2C', 'Artificial Intelligence (AI)', 'Machine Learning', 'Mobile Apps', 'Photo Editing', 'Photography']","Photoroom is the world's #1 AI Photo Editor. Our mission: to put the power of great images into more people's hands. Photoroom elevates businesses through amazing photography. We use AI to make photo-editing feel easy and delightful, and the end results look pro. Since launching in 2019, PhotoRoom has been downloaded over 150 million times worldwide with a 4.7-star rating from 1+ million reviews. Photoroom was also named Editor's Choice by both Google and Apple for 2023.",2019,Internet,Software & Computer Services,323,201-500,,62125000,company/photoroom,photoroom_app,organization/photoroom,http://logo.bigpicture.io/logo/photoroom.com,"Paris, Île-de-France, France",AI photo editing; Instant background removal; Image resizing for various platforms; One-click batch editing; Realistic studio-quality background generation; Customizable templates,Ideal for online sellers to edit and list products faster; Enhancing images for e-commerce websites; Creating standout social media content; Collaborative work environment for teams; Integrating with business workflows via API
Fetcherr,90,https://www.fetcherr.io,fetcherr.io,Fetcherr LTD,"['Air Transportation', 'Artificial Intelligence (AI)', 'Information Technology', 'Machine Learning', 'Travel']","Fetcherr is an algo-based company that revolutionizes the travel industry with its groundbreaking Generative Pricing Engine (GPE), the first of its kind to leverage AI for real-time, market-responsive pricing decisions. Our GPE augments airlines' existing pricing strategies with ultra-granular, high-frequency adjustments, fully automating workflows from pricing determination to fare publishing. Operating non-stop, the GPE identifies untapped revenue opportunities and efficiently distributes updated fares across all channels. Partnerships with Virgin Atlantic, Azul, ATPCO, and INFARE attest to our system's unparalleled capability to enhance revenue while streamlining operations.",2019,Software,Software & Computer Services,126,51-200,,114501000,company/fetcherr-ltd,,organization/fetcherr,http://logo.bigpicture.io/logo/fetcherr.io,"Netanya, Central District, Israel",Generative pricing engine; Large market model; Automated price optimization,Driving increased revenue for airlines; Optimizing market prices daily with minimal technology deployment; Leveraging digital transformation opportunities in the airline industry
Sentient,85,https://sentient.io,sentient.io,Sentient.io Pte Ltd,"['Artificial Intelligence (AI)', 'Big Data', 'Blockchain', 'Consulting', 'Developer Platform', 'Google', 'Information Technology', 'Professional Services', 'Software', 'B2B']","Sentient.io helps software developers who have little or no AI skills create AI-enabled applications or AI-driven services by embedding AI capabilities into their applications via REST API calls. Our core product, the Sentient AI and Data Platform, makes all these happen like magic!",2017,Software,Software & Computer Services,31,11-50,$1M-$10M,5156449,company/sentientio,,organization/sentient-io-pte-ltd,http://logo.bigpicture.io/logo/sentient.io,Singapore,Automatic Speech Recognition (ASR) for Asian languages; Multilingual support; Intelligent conversational agents,Speech recognition and translation services for customer support and inquiries; Integration of ASR in applications for automatic language translation; Utilization of AI to enhance user engagement in multi-language environments
Foretellix,85,https://www.foretellix.com,foretellix.com,Foretellix Ltd,"['Automotive', 'Autonomous Vehicles', 'Software', 'B2B']","Foretellix provides a revolutionary product development testing, verification, and validation platform enabling the mass deployment of autonomous driving systems. Foretellix uses proven approaches from the semiconductor chip industry that utilize hyper-automation, big data analytics, and AI. The platform orchestrates and manages the massive scale of testing required to ensure safety, reduce development costs, and shorten the time-to-market of ADS deployment.",2018,Software,Software & Computer Services,126,51-200,$10M-$50M,132500000,company/foretellix,ForetellixHQ,organization/foretellix,http://logo.bigpicture.io/logo/foretellix.com,"Ramat Gan, Tel Aviv, Israel",Hyperscale Verification & Validation (V&V) solutions; Automated virtual simulation for compliance testing; Integration with multiple test execution platforms and major simulators; Automated testing of safety cases for Autonomous Driving Systems (ADS); Edge case detection and scenario generation,Testing Level 2+ Advanced Driver Assistance Systems (ADAS); Validation of Level 3 Highway Pilot systems against UNECE regulations; Hub-to-hub autonomous trucking applications testing; Accelerating autonomous mining vehicle testing with a ready-to-use library; Integration of autonomous vehicles with human-driven vehicles in mining operations
Pixis,85,https://pixis.ai,pixis.ai,"Aiquire, Inc","['Artificial Intelligence (AI)', 'Brand Marketing', 'Cloud Computing', 'Digital Marketing', 'Machine Learning', 'B2B']",Pixis is a global tech company that develops accessible codeless AI technology to help brands scale all aspects of their marketing and augment their decision-making in a world of infinitely complex consumer behavior. The company’s codeless AI infrastructure currently comprises 200+ proprietary AI models that provide marketers with robust plug-and-play AI products without having to write a single line of code.,2018,Software,Software & Computer Services,504,501-1K,,209000000,company/pixisai,Pixis_AI,organization/pixis-ai,http://logo.bigpicture.io/logo/pixis.ai,"Chicago, Illinois, United States of America",Codeless AI infrastructure for scalable demand generation; Targeting AI for precise audience segmentation; Creative AI for automated ad generation and optimization; Performance AI for tracking and optimizing campaign results; Transparent AI reporting and analytics,Reducing customer acquisition cost (CAC) by an average of 33%; Optimizing ad spend by minimizing waste on macro-audiences; Improving campaign performance through targeted strategies; Enhancing creative content production with automated tools; Supporting performance and creative teams with AI-driven insights
ElevenLabs,80,https://elevenlabs.io,elevenlabs.io,ElevenLabs Inc.,"['Artificial Intelligence (AI)', 'Audio', 'Content Creators', 'Developer APIs', 'Publishing', 'B2C', 'B2B']","ElevenLabs is an AI Audio research and deployment company. Our research team develops AI Audio models that generate realistic, versatile and contextually-aware speech and sound effects. Our product team makes these models accessible for everyday users, prosumers, and businesses to create & localize content. Our technology is used to voice audiobooks and news articles, animate video game characters, help in film pre-production, automate localization processes in entertainment, create dynamic audio content for social media and advertising, and train medical professionals. It has also given back voices to those who have lost them and helped individuals with accessibility needs in their daily lives. For more information, visit www.elevenlabs.io",2022,Business Support Services,Support Services,126,51-200,,101000000,company/elevenlabsio,elevenlabsio,organization/elevenlabs,http://logo.bigpicture.io/logo/elevenlabs.io,"New York, United States of America",Text to Speech; Speech to Speech; Dubbing; Text to SFX; Voice Cloning; Low-latency AI voice generation; Human-like intonation and inflections; Multilingual voice technology; AI-powered teaching assistants,Creating audiobooks and podcasts; Bridging language gaps in digital interactions; Restoring voices for individuals who have lost them; Enhancing video creation with AI voiceovers; Empowering businesses with AI agents for consumer interaction; Translating audio and video while preserving emotions and tone; Creating audio versions of articles; Improving production efficiency for content creators; Enabling interactive storytelling in gaming and animation
DeepX,80,https://deepx.ai,deepx.ai,DEEPX Co. Ltd.,"['Artificial Intelligence (AI)', 'Information Technology', 'Internet of Things']","DEEPX is a global leader in on-device AI, specializing in the development of AI semiconductors that bring intelligence to every electronic device. Our cutting-edge AI chip product line is set to revolutionize industries like robotics, smart cities, surveillance, and more by optimizing performance, reducing power consumption, and enhancing cost efficiency for on-device AI operations. Collaborating with industry leaders like Hyundai Kia Motors Robotics Lab, POSCO DX, and Jahwa Electronics, we are driving mass production development and expanding partnerships with over 70 global companies in various sectors. Through innovation, strategic collaborations, and a global perspective, DEEPX is committed to setting the industry standard for on-device AI worldwide. Join us in shaping the future of AI technology! Apply our Early Engagement Customer Program now and be part of our exciting vision! EECP Page: https://deepx.ai/early-engagement-customer-program/",2018,Semiconductors,Technology Hardware & Equipment,126,51-200,$1B-$10B,104269242,company/deepx-corp,,organization/deepx-c937,http://logo.bigpicture.io/logo/deepx.ai,"Seongnam-Si, Gyeonggi-Do, South Korea",On-device AI processing; AI Chips for hardware acceleration; AI Modules for application integration; SDK for software development,Real-time data processing on edge devices; AI-driven insights in consumer electronics; Low-latency AI applications in IoT devices
Pika,80,https://pika.art,pika.art,"Mellis, Inc.","['Artificial Intelligence (AI)', 'Generative AI', 'Graphic Design', 'Video', 'B2C']",An idea-to-video platform that brings your creativity to motion.,2023,Internet,Software & Computer Services,32,11-50,$0-$1M,135000000,company/pika-labs,pika_labs,organization/pika-2a05,http://logo.bigpicture.io/logo/pika.art,"Palo Alto, California, United States of America",Text-to-video creation; Image-to-video transformation; Video-to-video modifications; Modify Region feature to change video frames on command; Lip Sync for character dialogue; Sound Effects generation or prompting; Expand Canvas to create surrounding environments; Extend Video Length for ongoing storytelling,Transforming written scripts into videos; Creating videos from static images; Modifying existing videos for enhanced storytelling; Personalizing video content with character dialogue; Adding custom sound effects to videos; Expanding the visual environment in videos; Extending video narratives beyond initial endings
Elucid,80,https://elucid.com,elucid.com,Elucid Bioimaging Inc.,"['Analytics', 'Biotechnology', 'Medical Device', 'Precision Medicine']","Elucid is a Boston-based medical technology company using histology-validated software to provide physicians with a cost-effective means to optimize treatment decisions for patients with cardiovascular disease. Advanced clinical insight from Elucid's CTA analysis equips physicians with critical information designed to enable precision medicine. Elucid is the first non-invasive software to quantify atherosclerotic plaque characteristics compared to histopathology, including Lipid Rich Necrotic Core. The company has published studies for its derivation of fractional flow reserve (FFRct) based on the vasodilative capacity of the vessel wall. Elucid's unique information informs improved treatment decisions by physicians leading to better patient outcomes, improved quality of care, and reduced healthcare costs.",2013,Medical Equipment,Health Care Equipment & Services,126,51-200,$10M-$50M,129728339,company/elucid-bioimaging-inc-,elucidbio,organization/elucid-bioimaging,http://logo.bigpicture.io/logo/elucid.com,"Boston, Massachusetts, United States of America","Non-invasive image analysis software; Patented computer algorithms for plaque assessment; Histology-validated software for plaque composition analysis; 3D visibility and analysis of arterial plaque; Integration with EMR, PACS, and imaging workflows",Personalized patient care based on quantified arterial plaque stability; Improved prediction of heart attack and stroke risks using AI analysis; Reduction of unnecessary invasive procedures through accurate non-invasive diagnostics; Acceleration of clinical trials by identifying high-risk patients; Facilitation of drug candidate identification with greater precision
Harvey.ai,80,https://www.harvey.ai,harvey.ai,Counsel AI Corp.,"['Artificial Intelligence (AI)', 'Legal', 'B2C']",Harvey is a generative AI company backed by Sequoia and OpenAI's startup fund building the future of professional services.,2022,Software,Software & Computer Services,126,51-200,,106000000,company/harvey-ai,,organization/harvey-128b,http://logo.bigpicture.io/logo/harvey.ai,"San Francisco, California, United States of America",Legal Domain Specific Models; Large Language Models trained on complex legal tasks; Fine-tuned by domain experts; Unprecedented visibility into productivity tracking,"Augmenting workflows for legal teams; Tracking work product by attorney, client matter, practice area; Accessing detailed data provenance and usage metrics"
Ideogram,80,https://ideogram.ai,ideogram.ai,"Ideogram AI, Inc.",,Ideogram AI specializes in AI-powered image generation and manipulation technologies.,2023,Image Generation,Artificial Intelligence,50,1-10,,,company/ideogram-ai,,organization/ideogram-ai,,"San Francisco, California, United States",,
Frore Systems,80,https://www.froresystems.com,froresystems.com,Frore Systems Inc,"['Consumer Electronics', 'Manufacturing', 'Mechanical Engineering', 'B2G', 'B2C']","Frore Systems is the developer of breakthrough thermal technology for consumer devices. The company’s active cooling chip, AirJet® Mini is integrated into devices to remove heat silently, delivering 2X improvement in device processor performance. AirJet’s compact size and unique capability enables faster, quieter, thinner, lighter and dust-proof devices. Frore Systems is headquartered in San Jose, CA with offices in Taiwan and South Korea. Follow us to stay up to date with the latest news!",2018,Computer Hardware,Technology Hardware & Equipment,126,51-200,$10M-$50M,180000000,company/froresystems,,organization/frore-systems,http://logo.bigpicture.io/logo/froresystems.com,"San Jose, California, United States of America",Active cooling technology utilizing solid-state chip for thermal management; Real-time temperature monitoring and management capabilities,Enhanced performance for mini-PCs and notebooks by reducing thermal throttling; Application in handheld gaming devices to maintain performance during extended use; Integration into compact cameras for improved thermal management aiding in sustained video recording; Deployment in IOT devices such as WiFi access points and smart LED lighting to ensure optimal functionality; Application in SSD accessories to enhance durability and performance under load
Foundry,80,https://www.foundry.ai,foundry.ai,Foundry.ai,"['Analytics', 'Artificial Intelligence (AI)', 'Information Services', 'Information Technology', 'Internet', 'Software', 'B2B']","Foundry is a technology studio that develops practical, profitable artificial intelligence SaaS products in collaboration with the Global 2000. We work closely with executives to identify business units and processes that can be improved through the use of AI. If we jointly see an opportunity that also has broader market value, we deploy a combination of existing building blocks and custom work to develop a licensable solution. For us and our Launch Partners, this is a win-win — customers solve key problems that impact their bottom line (and gain a percentage of later revenues), while Foundry takes the solution to market as a licensable SaaS product. As a result, Foundry is now the parent company to several successful solutions which have spun out as wholly-owned subsidiaries that license SaaS products in healthcare, telecommunications, consumer goods, and more.",2015,Software,Software & Computer Services,31,11-50,$1M-$10M,,company/foundryai,,organization/foundry-ai,http://logo.bigpicture.io/logo/foundry.ai,"Washington, District of Columbia, United States of America",Practical applications of AI; AI software products; Machine learning solutions; AI technology for business performance,"Optimizing deployment of engagement and diagnostic resources for health plans and providers; Optimizing labor, inventory, fulfillment, pricing, and production decisions for multi-unit operators; Personalizing customer engagements with optimized offer recommendations for broadband and telecommunications providers"
Frontier Medicines,80,https://www.frontiermeds.com,frontiermeds.com,Frontier Medicines Corporation,"['Biopharma', 'Biotechnology', 'Life Science', 'Pharmaceutical', 'Precision Medicine']","Frontier Medicines, located in South San Francisco, CA and Boston, MA, is a precision medicine company that has pioneered a powerful discovery and development platform designed to generate medicines against disease-causing proteins previously considered undruggable. We are deploying our technologies in chemoproteomics, covalent drug discovery, and machine learning to develop a pipeline of groundbreaking medicines against the most important drivers of disease. Our lead program targets both the activated and inactive forms of KRAS G12C, a validated driver in a number of cancers that until recently has been undruggable. Our pipeline embodies our vision of bolding advancing science to defeat disease, starting with cancer.",2018,,Pharmaceuticals & Biotechnology,126,51-200,,344000000,company/frontier-medicines,FrontierMeds,organization/frontier-medicines,http://logo.bigpicture.io/logo/frontiermeds.com,"South San Francisco, California, United States of America",machine learning integration; context-dependent screening; chemoproteomics,developing precision medicines; unlocking proteome for small-molecule interventions; tackling undruggable disease-causing targets
RapidSOS,75,https://rapidsos.com,rapidsos.com,"RapidSOS, Inc.","['Artificial Intelligence (AI)', 'Mobile Apps', 'Public Safety']","RapidSOS is an intelligent safety platform that securely links life-saving data from 500M+ connected devices, apps, and sensors from 90+ global technology companies to over 1M+ first responders across 15K agencies nationwide. Whether there’s an unsafe moment or an emergency, RapidSOS Ready devices, homes, or buildings deliver essential data to the right place, when it matters most. To learn more about our technology that’s protecting lives, visit www.rapidsos.com",2012,Government,Government,351,201-500,$10M-$50M,355730006,company/rapidsos,RapidSOS,organization/rapidsos,http://logo.bigpicture.io/logo/rapidsos.com,"New York, United States of America",AI processing of alarm calls; Transforming emergency alert data into actionable insights using AI,Alarm Call Automation to reduce telecommunicator workload; Integration with Apple Emergency SOS Live Video for enhanced response; Connecting critical data from enterprises directly to emergency services
Quora,75,https://www.quora.com,quora.com,"Quora, Inc.","['Copywriting', 'Information Services', 'Internet', 'Product Design', 'Q&A', 'B2C']","The vast majority of human knowledge is still not on the internet. Most of it is trapped in the form of experience in people’s heads, or buried in books and papers that only experts can access. Our mission is to share and grow the world's knowledge, and we're building a world-class team to help us achieve this mission. To do so, we have two knowledge sharing products: Quora: a global knowledge sharing platform with over 400M monthly unique visitors, bringing people together to share insights on various topics and providing a unique platform to learn and connect with others. Poe: a platform providing millions of global users with one place to chat, explore and build with a wide variety of AI language models (bots), including GPT-4, Claude 3, Gemini Pro, DALL-E 3 and more. As AI capabilities rapidly advance, Poe provides a single platform to instantly integrate and utilize these new models. Visit quora.com/careers to browse open roles and apply online. Quora company blog: blog.quora.com Engineering blog: engineering.quora.com Design blog: design.quora.com Data blog: data.quora.com Recruiting blog: interviewingatquora.quora.com/ Intern blog: quorainterns.quora.com",2009,Internet,Software & Computer Services,1299,1K-5K,,301000000,company/quora,Quora,organization/quora,http://logo.bigpicture.io/logo/quora.com,"Mountain View, California, United States of America",,
Upstage,72,https://www.upstage.ai,upstage.ai,"Upstage Co., Ltd.","['Artificial Intelligence (AI)', 'Machine Learning', 'Natural Language Processing', 'Predictive Analytics', 'Software', 'B2B']","Upstage boosts work efficiency with industry-leading document processing engines and large-language models (LLMs). Our flagship large language model Solar defines the benchmark for cost-effective and powerful AI solutions for enterprises. Additionally, our Document AI boasts a proven track record in automating documents through advanced AI OCR technology.",2020,Software,Software & Computer Services,126,51-200,,125740598,company/upstageai,upstageai,organization/upstage-ai,http://logo.bigpicture.io/logo/upstage.ai,"San Jose, California, United States of America",Powerful Purpose-trained LLM (Solar); Document AI for information extraction and document processing; Generative Business Intelligence (BI); Knowledge and Numerical understanding; Decision Support System for enhanced decision making; Function Calling support for connecting LLM to external tools; High-performance Document OCR; Key Information Extraction with AI engine; Layout Analysis to extract structured data from documents; Context-aware Translation API; Groundedness Check for verifying LLM responses; Embedding conversion for text retrieval and classification; Text-to-SQL for natural language query transformation,"Automating repetitive tasks to improve work efficiency; Enhancing productivity through AI-driven automation; Providing decision support for complex business decisions; Real-time data extraction and analysis from documents; Creating conversational agents using Chat API; Facilitating context-aware translations in bilingual communications; Performing layout analysis for structured document processing; Extracting key insights for business intelligence; Utilizing embeddings for classifying and retrieving information; Transforming natural language inputs into SQL queries.; Specialized intelligence in healthcare, finance, and legal sectors"
Vilya,71,https://vilyatx.com,vilyatx.com,"Vilya, Inc.","['Biotechnology', 'Health Diagnostics', 'Life Science', 'Medical', 'B2C', 'B2B']","Vilya is a cutting-edge computational biotechnology company, co-founded a team of scientists from from the Institute of Protein Design (IPD) led by David Baker, Ph.D. and by ARCH Venture Partners. At Vilya, we are creating a novel class of medicines to precisely target disease biology. Our platform is built on ground-breaking research in advanced computational approaches and taps into uncharted chemical space within cyclic peptides to design new molecular structures not found in nature. We aim to boldly leverage cutting edge computing to change how we design new medicines, and to ultimately cure diseases. Who will love working with us? We are a group of machine learning scientists, computational chemists, medicinal chemists, biologists and scientific enthusiasts that are driven to design and create life-altering medicines that will make a big impact on the world. Learn more about our job openings and join us! join@vilyatx.com",2022,,Pharmaceuticals & Biotechnology,31,11-50,$1M-$10M,71000000,company/vilyatx,,organization/vilya,http://logo.bigpicture.io/logo/vilyatx.com,"Seattle, Washington, United States of America",Advanced computational approaches; High throughput screening replacement; Molecular structure design using computational techniques; Cyclic peptide structure prediction using AlphaFold,Designing new molecular structures for drug discovery; Targeting previously impossible disease targets; Developing novel chemically diverse macrocycles for new therapies
SiMa.ai,70,https://sima.ai,sima.ai,"SiMa Technologies, Inc.","['Artificial Intelligence (AI)', 'Embedded Systems', 'Machine Learning', 'Semiconductor', 'Software']","SiMa.ai™ is a machine learning company delivering the industry’s first software-centric purpose-built MLSoC™ platform. With push-button performance, we enable effortless ML deployment and scaling at the embedded edge by allowing customers to address any computer vision problem while achieving 10x better performance at the lowest power. Initially focused on computer vision applications, SiMa.ai is led by technologists and business veterans backed by a set of top investors committed to helping customers bring ML on their platforms. For more information, visit www.SiMa.ai.",2018,Software,Software & Computer Services,126,51-200,$10M-$50M,330000000,company/sima-ai,SiMa_Inc,organization/sima-ai,http://logo.bigpicture.io/logo/sima.ai,"San Jose, California, United States of America",AI-enabled applications; Scalable Edge AI; Embedded Edge ML; AI for computer vision; Power-efficient AI processing; Real-time insights; On-device processing of medical data; Enhanced drone performance,"Improving welding, cutting, and marking processes in industrial applications; Expediting autonomous vehicle development; Healthcare data processing with low power consumption; Real-time consumer behavior insights in smart retail; Increasing drone flight time and responsiveness; Low-power design for smart vision applications"
Axelera,68,https://www.axelera.ai,axelera.ai,Axelera AI B.V.,"['Artificial Intelligence (AI)', 'Machine Learning', 'Semiconductor', 'Software', 'B2B']","Axelera AI delivers an AI-native game-changing hardware and software platform to accelerate artificial intelligence. Headquartered in the AI Innovation Center of the High Tech Campus in Eindhoven, Axelera AI has R&D offices in Belgium, Switzerland, UK and Italy and operations in 15 European countries . Its team of experts in AI software and hardware hail from top AI firms and Fortune 500 companies.",2021,Semiconductors,Technology Hardware & Equipment,126,51-200,$10M-$50M,136700000,company/axelera-ai,AxeleraAI,organization/axelera-ai,http://logo.bigpicture.io/logo/axelera.ai,"Ae, Netherlands",Breakthrough Digital In-Memory Compute Architecture; Lowest-cost AI Edge Inference; Voyager SDK for deploying deep neural networks; Metis AI Processing Unit (AIPU) offering up to 200 TOPS,"Accelerated computer vision applications; Simultaneous processing of multiple camera streams using YOLO V5 model; High-performance safety, security, and operational intelligence in industrial and retail environments; Cost-effective AI edge inference solutions for various sectors"
Parloa,66,https://www.parloa.com,parloa.com,Parloa GmbH,"['Artificial Intelligence (AI)', 'Chatbot', 'Information Technology', 'SaaS', 'Software', 'Telecommunications', 'B2B', 'B2C']","We at Parloa believe in the revolution of how businesses talk to their customers with the help of artificial intelligence. Ever since our company was founded in 2018 in the heart of Berlin, Parloa has become one of the leading SaaS platforms for Conversational AI. Our aim is to build the most comprehensive solution in this sector for enabling every company in the world to have better conversations with their customers. We pursue this vision with the highest standards of technical engineering and combine it with innovative leadership and a strong commitment of every team member to reimagine the future of customer communication.",2018,Software,Software & Computer Services,351,201-500,,91979624,company/parloa,,organization/parloa,http://logo.bigpicture.io/logo/parloa.com,"Berlin, Germany",Generative AI for innovative customer service solutions; Real-time translation assistance for agents; User-friendly low-code frontend for AI management; Integration with existing business infrastructure; AI-driven automation for contact centers,Automating contact center operations to enhance customer experience; Providing multilingual support via real-time translation; Using chatbots for instant customer service responses across platforms; Leveraging generative AI to offer personalized customer support; Enabling self-service options for customers through AI-driven chatbots
Codeium,65,https://codeium.com,codeium.com,"Exafunction, Inc.","['Artificial Intelligence (AI)', 'Enterprise Applications', 'Machine Learning', 'Software', 'B2B']","Codeium is the modern coding superpower, a code acceleration toolkit built on cutting edge AI technology. Get free forever access at codeium.com We believe there are too many parts of the modern coding workflow that are boring, tedious, or downright frustrating, from regurgitating boilerplate to poring through StackOverflow. We can use recent advances in AI to eliminate these parts, making it seamless to turn your ideas into code. With easy integration into editors, you can focus on being the best software developer, not the best code monkey.",2021,Software,Software & Computer Services,52,51-200,,93000000,company/codeiumdev,codeiumdev,organization/exafunction,http://logo.bigpicture.io/logo/codeium.com,"Mountain View, United States of America",AI code autocomplete; Command instructions for inline refactors; AI chat for code generation and explanation; Context awareness covering full repository and multi-repository codebase; Generative code suggestions; Optimized reasoning engine for coding workflows,Enhancing productivity with faster coding through autocomplete; Generating boilerplate code; Refactoring existing code; Adding documentation and comments seamlessly; Explaining existing code to improve understanding; Suggesting bug fixes based on context; Unit Testing support; Data Science application development; Building Math Libraries; Optimizing Python Memoization techniques
Stampli,61,https://www.stampli.com,stampli.com,Stampli Inc.,"['Accounting', 'Artificial Intelligence (AI)', 'Billing', 'Payments', 'B2B']","Stampli is an AI-powered Accounts Payable automation solution that makes AP departments far more efficient, without requiring them to rework their ERP or change their existing processes. Stampli's unique approach centers all AP-related communication, documentation, and workflows into one place for complete visibility and control. Stampli is simple for users to learn and even simpler to use, especially with Billy the Bot™ automating capture, coding, routing, fraud detection, and other manual tasks. For even greater efficiency, Stampli's core AP solution is complemented by a suite of integrated products that include Direct Pay, Credit Cards, Advanced Vendor Management, and others. Stampli supports all native functionality for more than 70 ERPs, including those from Sage, Microsoft, SAP, Oracle, QuickBooks, and 70 others, enabling it to deploy in a matter of days, not months. For more information, visit www.stampli.com.",2015,Software,Software & Computer Services,351,201-500,,145700000,company/stampli,Stampli,organization/stampli,http://logo.bigpicture.io/logo/stampli.com,"Mountain View, California, United States of America","Billy the Bot™: An advanced AI assistant that automates manual tasks and adapts to unique AP processes. It assists in invoice capture, coding, approvals, fraud detection, etc.","Automate invoice capture, coding, approvals for efficient AP processing.; Centralized collaboration for invoice documentation and workflows.; Automate the entire invoice approval workflow with quick integration to ERPs.; Manage vendor onboarding and documentation for enhanced compliance.; Provide insights and analytics on invoice processing and employee productivity."
Eliyan,60,https://eliyan.com,eliyan.com,Eliyan Corporation,"['Electronics', 'Manufacturing', 'Semiconductor', 'B2B']",Eliyan's mission is to revolutionize chiplet connectivity technologies by challenging the status quo to unleash the ultimate performance of smart systems of the future.,2021,Semiconductors,Technology Hardware & Equipment,31,11-50,$1M-$10M,100000000,company/eliyan-corporation,,organization/eliyan,http://logo.bigpicture.io/logo/eliyan.com,"Los Altos, California, United States of America",NuLink™ PHY technology; Improves AI performance by 10X; Eliminates the Memory Wall,Enables the creation of super large SiPs on Standard Packaging; Optimizes multi-die approaches for chip suppliers; Enhances power and bandwidth optimization in chip designs
HeyGen,60,https://www.heygen.com,heygen.com,HeyGen,"['Generative AI', 'Software', 'Video', 'Web Apps', 'B2C']",HeyGen’s mission is to make visual storytelling accessible to all,2020,Broadcasting & Entertainment,Media,82,51-200,,69000000,company/heygen,heygen_official,organization/heygen,http://logo.bigpicture.io/logo/heygen.com,"Los Angeles, California, United States of America",AI-generated avatars and voices; AI-driven text reader for human-like intonation and inflections; Video translation with cloned voice and style; ChatGPT script writing assistant; Customizable AI outfits for avatars; Integration capabilities through API,Personalized outreach videos for sales; Engaging content marketing videos; Concise product marketing videos; Training videos for learning and development
